repeat,page,arm,started_at,observed_bytes,completed_requests,failed_requests,intentionally_blocked_requests,browser_policy_blocked_requests,missing_sizes,duration_ms,document_status
2,42,lean,2026-09-22T13:05:13.861Z,116041,9,0,39,1,0,5068,200
2,42,full,2026-09-22T13:05:19.344Z,371096,30,0,0,1,0,6441,200
2,43,full,2026-09-22T13:05:26.206Z,355756,30,0,0,1,0,6185,200
2,43,lean,2026-09-22T13:05:32.807Z,115828,9,0,30,1,0,4772,200
2,44,lean,2026-09-22T13:05:37.990Z,115800,9,0,41,1,0,4949,200
2,44,full,2026-09-22T13:05:43.357Z,346096,30,0,0,1,0,6298,200
2,45,full,2026-09-22T13:05:50.075Z,353400,30,0,0,1,0,6702,200
2,45,lean,2026-09-22T13:05:57.192Z,115873,9,0,27,1,0,4559,200
2,46,lean,2026-09-22T13:06:02.189Z,115827,9,0,22,1,0,5096,200
2,46,full,2026-09-22T13:06:07.707Z,358845,30,0,0,1,0,6107,200
2,47,full,2026-09-22T13:06:14.230Z,375788,30,0,0,1,0,6296,200
2,47,lean,2026-09-22T13:06:20.946Z,115700,9,0,31,1,0,5142,200
2,48,lean,2026-09-22T13:06:26.510Z,115649,9,0,23,1,0,4599,200
2,48,full,2026-09-22T13:06:31.527Z,377760,30,0,0,1,0,6284,200
2,49,full,2026-09-22T13:06:38.226Z,363769,30,0,0,1,0,6757,200
2,49,lean,2026-09-22T13:06:45.409Z,115818,9,0,40,1,0,4861,200
2,50,lean,2026-09-22T13:06:50.703Z,115834,9,0,29,1,0,4826,200
2,50,full,2026-09-22T13:06:55.953Z,372991,30,0,0,1,0,6600,200
3,1,full,2026-09-22T13:07:02.953Z,351255,30,0,0,1,0,6011,200
3,1,lean,2026-09-22T13:07:09.378Z,116019,9,0,30,1,0,4636,200
3,2,lean,2026-09-22T13:07:14.424Z,115975,9,0,22,1,0,4766,200
3,2,full,2026-09-22T13:07:19.611Z,377636,30,0,0,1,0,6492,200
3,3,full,2026-09-22T13:07:26.539Z,372356,30,0,0,1,0,5931,200
3,3,lean,2026-09-22T13:07:32.893Z,116141,9,0,39,1,0,4669,200
3,4,lean,2026-09-22T13:07:37.985Z,116350,9,0,29,1,0,4929,200
3,4,full,2026-09-22T13:07:43.347Z,370382,30,0,0,1,0,6170,200
3,5,full,2026-09-22T13:07:49.954Z,380532,30,0,0,1,0,6528,200
3,5,lean,2026-09-22T13:07:56.913Z,116190,9,0,30,1,0,5186,200
3,6,lean,2026-09-22T13:08:02.542Z,116198,9,0,36,1,0,4927,200
3,6,full,2026-09-22T13:08:07.905Z,385337,30,0,0,1,0,6479,200
3,7,full,2026-09-22T13:08:14.829Z,376554,30,0,0,1,0,6096,200
3,7,lean,2026-09-22T13:08:21.352Z,116074,9,0,41,1,0,5021,200
3,8,lean,2026-09-22T13:08:26.798Z,116001,9,0,32,1,0,4529,200
3,8,full,2026-09-22T13:08:31.757Z,379259,30,0,0,1,0,6558,200
3,9,full,2026-09-22T13:08:38.751Z,373083,30,0,0,1,0,6390,200
3,9,lean,2026-09-22T13:08:45.574Z,115995,9,0,22,1,0,5297,200
3,10,lean,2026-09-22T13:08:51.302Z,116056,9,0,22,1,0,5064,200
3,10,full,2026-09-22T13:08:56.796Z,369357,30,0,0,1,0,6227,200
3,11,full,2026-09-22T13:09:03.456Z,352877,30,0,0,1,0,6832,200
3,11,lean,2026-09-22T13:09:10.718Z,115958,9,0,34,1,0,4699,200
3,12,lean,2026-09-22T13:09:15.834Z,115909,9,0,39,1,0,4723,200
3,12,full,2026-09-22T13:09:20.972Z,390863,30,0,0,1,0,7132,200
3,13,full,2026-09-22T13:09:28.519Z,392550,30,0,0,1,0,6496,200
3,13,lean,2026-09-22T13:09:35.432Z,116003,9,0,34,1,0,5215,200
3,14,lean,2026-09-22T13:09:41.070Z,116056,9,0,31,1,0,4532,200
3,14,full,2026-09-22T13:09:46.018Z,376869,30,0,0,1,0,6272,200
3,15,full,2026-09-22T13:09:52.705Z,378668,30,0,0,1,0,6334,200
3,15,lean,2026-09-22T13:09:59.455Z,116074,9,0,41,1,0,4318,200
3,16,lean,2026-09-22T13:10:04.189Z,116013,9,0,33,1,0,4691,200
3,16,full,2026-09-22T13:10:09.303Z,355996,30,0,0,1,0,6571,200
3,17,full,2026-09-22T13:10:16.298Z,370955,30,0,0,1,0,6576,200
3,17,lean,2026-09-22T13:10:23.292Z,115746,9,0,33,1,0,4686,200
3,18,lean,2026-09-22T13:10:28.403Z,116093,9,0,28,1,0,4683,200
3,18,full,2026-09-22T13:10:33.503Z,369438,30,0,0,1,0,6516,200
3,19,full,2026-09-22T13:10:40.435Z,374719,30,0,0,1,0,6806,200
3,19,lean,2026-09-22T13:10:47.676Z,116121,9,0,42,1,0,4961,200
3,20,lean,2026-09-22T13:10:53.055Z,116126,9,0,22,1,0,4669,200
3,20,full,2026-09-22T13:10:58.140Z,366595,30,0,0,1,0,6278,200
3,21,full,2026-09-22T13:11:04.840Z,343966,30,0,0,1,0,6660,200
3,21,lean,2026-09-22T13:11:11.917Z,115956,9,0,33,1,0,5001,200
3,22,lean,2026-09-22T13:11:17.342Z,115917,9,0,37,1,0,4636,200
3,22,full,2026-09-22T13:11:22.401Z,369590,30,0,0,1,0,6530,200
3,23,full,2026-09-22T13:11:29.353Z,357743,30,0,0,1,0,6628,200
3,23,lean,2026-09-22T13:11:36.403Z,116249,9,0,29,1,0,4845,200
3,24,lean,2026-09-22T13:11:41.672Z,115962,9,0,40,1,0,4883,200
3,24,full,2026-09-22T13:11:46.968Z,363663,30,0,0,1,0,6519,200
3,25,full,2026-09-22T13:11:53.903Z,362571,30,0,0,1,0,6062,200
3,25,lean,2026-09-22T13:12:00.382Z,116427,9,0,41,1,0,4804,200
3,26,lean,2026-09-22T13:12:05.601Z,115912,9,0,33,1,0,4669,200
3,26,full,2026-09-22T13:12:10.684Z,363437,30,0,0,1,0,6351,200
3,27,full,2026-09-22T13:12:17.455Z,374821,30,0,0,1,0,6730,200
3,27,lean,2026-09-22T13:12:24.620Z,116058,9,0,37,1,0,4532,200
3,28,lean,2026-09-22T13:12:29.570Z,116089,9,0,33,1,0,4629,200
3,28,full,2026-09-22T13:12:34.618Z,352745,30,0,0,1,0,6712,200
3,29,full,2026-09-22T13:12:41.754Z,372250,30,0,0,1,0,6422,200
3,29,lean,2026-09-22T13:12:48.602Z,115908,9,0,22,1,0,4834,200
3,30,lean,2026-09-22T13:12:53.853Z,115837,9,0,22,1,0,4816,200
3,30,full,2026-09-22T13:12:59.105Z,377374,30,0,0,1,0,6242,200
3,31,full,2026-09-22T13:13:05.779Z,363896,30,0,0,1,0,6758,200
3,31,lean,2026-09-22T13:13:12.964Z,115856,9,0,23,1,0,4722,200
3,32,lean,2026-09-22T13:13:18.120Z,115944,9,0,22,1,0,4640,200
3,32,full,2026-09-22T13:13:23.194Z,361427,30,0,0,1,0,6013,200
3,33,full,2026-09-22T13:13:29.637Z,375631,30,0,0,1,0,6478,200
3,33,lean,2026-09-22T13:13:36.529Z,116044,9,0,36,1,0,5198,200
3,34,lean,2026-09-22T13:13:42.165Z,115809,9,0,42,1,0,4817,200
3,34,full,2026-09-22T13:13:47.412Z,370564,30,0,0,1,0,6457,200
3,35,full,2026-09-22T13:13:54.295Z,360137,30,0,0,1,0,6902,200
3,35,lean,2026-09-22T13:14:01.622Z,115927,9,0,22,1,0,4756,200
3,36,lean,2026-09-22T13:14:06.812Z,115919,9,0,37,1,0,4807,200
3,36,full,2026-09-22T13:14:12.046Z,367755,30,0,0,1,0,6659,200
3,37,full,2026-09-22T13:14:19.138Z,364315,30,0,0,1,0,6729,200
3,37,lean,2026-09-22T13:14:57.913Z,115891,9,0,30,1,0,4657,200
3,38,lean,2026-09-22T13:15:02.986Z,116024,9,0,37,1,0,5123,200
3,38,full,2026-09-22T13:15:08.527Z,367102,30,0,0,1,0,6596,200
3,39,full,2026-09-22T13:15:15.543Z,361864,30,0,0,1,0,6696,200
3,39,lean,2026-09-22T13:15:22.663Z,115957,9,0,33,1,0,5588,200
3,40,lean,2026-09-22T13:15:28.667Z,115912,9,0,30,1,0,4775,200
3,40,full,2026-09-22T13:15:33.861Z,357122,30,0,0,1,0,6715,200
